,Unnamed: 0,City,Country,Max Temp,% Humidity,% Cloudiness,Wind Speed,Lat,Lng
0,0,Oranjestad,AW,82.35,78,20,20.71,12.524,-70.027
1,1,Vostok,RU,63.5,35,78,7.4,46.4856,135.8833
2,2,Punta arenas,CL,44.71,61,75,13.8,-53.15,-70.9167
3,3,Ushuaia,AR,47.86,49,75,17.27,-54.8,-68.3
4,4,Barrow,US,30.22,80,100,21.85,71.2906,-156.7887
5,5,Ushuaia,AR,47.86,49,75,17.27,-54.8,-68.3
6,6,Avarua,CK,80.65,78,40,13.8,-21.2078,-159.775
7,7,Avarua,CK,80.65,78,40,13.8,-21.2078,-159.775
8,8,Provideniya,RU,42.91,75,0,11.18,64.3833,-173.3
9,9,Hermanus,ZA,62.02,49,11,7.2,-34.4187,19.2345
10,10,Avarua,CK,80.65,78,40,13.8,-21.2078,-159.775
11,11,Ponta do sol,CV,73.18,79,16,15.68,17.1994,-25.0919
12,12,Vaini,TO,75.96,79,45,7.43,-21.2,-175.2
13,13,Bredasdorp,ZA,54.66,61,3,3.98,-34.5322,20.0403
14,14,Tuktoyaktuk,CA,32.41,75,36,9.24,69.4541,-133.0374
15,15,Nantucket,US,61.0,94,0,4.61,41.2835,-70.0995
16,16,Rikitea,PF,73.31,79,62,19.06,-23.1203,-134.9692
17,17,Puerto ayora,EC,70.56,96,100,4.0,-0.7393,-90.3518
18,18,Cape town,ZA,64.11,51,4,3.67,-33.9258,18.4232
19,19,Worland,US,64.67,83,40,3.44,44.0169,-107.9554
20,20,College,US,73.58,20,40,11.5,64.8569,-147.8028
21,21,Vardo,NO,44.58,81,100,20.71,70.3705,31.1107
22,22,Kahului,US,76.84,90,75,5.01,20.8947,-156.47
23,23,Romny,RU,67.37,56,23,5.1,50.725,129.2894
24,24,Arraial do cabo,BR,69.06,66,0,17.34,-22.9661,-42.0278
25,25,Labytnangi,RU,44.26,40,100,4.83,66.6572,66.4183
26,26,Quepos,CR,76.42,91,100,5.17,9.4236,-84.1652
27,27,Atuona,PF,78.48,72,13,15.35,-9.8,-139.0333
28,28,Hilo,US,87.28,86,100,4.61,19.7297,-155.09
29,29,Guerrero negro,MX,63.7,82,10,22.01,27.9769,-114.0611
30,30,Kodiak,US,56.71,72,0,11.5,57.79,-152.4072
31,31,Tuktoyaktuk,CA,32.41,75,36,9.24,69.4541,-133.0374
32,32,Victoria,SC,80.06,78,100,8.34,-4.6167,55.45
33,33,Necochea,AR,47.43,71,19,7.52,-38.5473,-58.7368
34,34,Nantucket,US,61.0,94,0,4.61,41.2835,-70.0995
35,35,Punta arenas,CL,44.71,61,75,13.8,-53.15,-70.9167
36,36,Saint-philippe,RE,71.19,66,55,7.25,-21.3585,55.7679
37,37,Skibbereen,IE,55.11,95,100,6.64,51.55,-9.2667
38,38,Hermanus,ZA,62.02,49,11,7.2,-34.4187,19.2345
39,39,Punta arenas,CL,44.71,61,75,13.8,-53.15,-70.9167
40,40,Albany,AU,54.82,77,100,5.99,-35.0169,117.8917
41,41,Broome,AU,78.75,41,20,9.22,-17.9667,122.2333
42,42,Lompoc,US,77.77,85,100,21.99,34.6391,-120.4579
43,43,Busselton,AU,58.06,61,100,10.22,-33.65,115.3333
44,44,Rikitea,PF,73.31,79,62,19.06,-23.1203,-134.9692
45,45,Hasaki,JP,63.0,87,100,21.97,35.7333,140.8333
