,City,Country,Max Temp,Lat,Lng,Hotel Name
9,Hermanus,ZA,62.02,-34.4187,19.2345,Harbour House Hotel
11,Ponta do sol,CV,73.18,17.1994,-25.0919,Sintanton Trekking i
12,Vaini,TO,75.96,-21.2,-175.2,Tonga South Beach House
15,Nantucket,US,61.0,41.2835,-70.0995,Faraway Nantucket
16,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
17,Puerto ayora,EC,70.56,-0.7393,-90.3518,Castillo Galapagos
18,Cape town,ZA,64.11,-33.9258,18.4232,Southern Sun Waterfront Cape Town
19,Worland,US,64.67,44.0169,-107.9554,Comfort Inn Worland Hwy 16 to Yellowstone
20,College,US,73.58,64.8569,-147.8028,Best Western Plus Chena River Lodge
22,Kahului,US,76.84,20.8947,-156.47,Maui Beach Hotel
24,Arraial do cabo,BR,69.06,-22.9661,-42.0278,Ocean View Hotel
26,Quepos,CR,76.42,9.4236,-84.1652,Shana By The Beach Resort
27,Atuona,PF,78.48,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
29,Guerrero negro,MX,63.7,27.9769,-114.0611,Cowboy Grill Hotel
34,Nantucket,US,61.0,41.2835,-70.0995,Faraway Nantucket
36,Saint-philippe,RE,71.19,-21.3585,55.7679,Le four à pain
38,Hermanus,ZA,62.02,-34.4187,19.2345,Harbour House Hotel
41,Broome,AU,78.75,-17.9667,122.2333,Oaks Broome Hotel
42,Lompoc,US,77.77,34.6391,-120.4579,O'Cairns Inn & Suites
44,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
45,Hasaki,JP,63.0,35.7333,140.8333,Gyōkeikan
48,Mahebourg,MU,69.26,-20.4081,57.7,Le Peninsula Bay Beach Resort & Spa
49,Hamilton,BM,77.04,32.2915,-64.778,Hamilton Princess & Beach Club - A Fairmont Managed Hotel
50,Pisco,PE,65.01,-13.7,-76.2167,Hosteria del Monasterio
53,Puerto leguizamo,CO,73.83,-0.1934,-74.7819,Hotel Caucaya
54,Ikryanoye,RU,66.18,46.0932,47.7308,Guest House Kodyakov
60,San patricio,MX,78.91,19.2167,-104.7,Grand Isla Navidad Resort
62,Quepos,CR,76.42,9.4236,-84.1652,Shana By The Beach Resort
65,Yellowknife,CA,73.56,62.456,-114.3525,Super 8 by Wyndham Yellowknife
66,Provost,CA,61.72,52.3501,-110.2683,Deerhead Inn
68,Presidencia roque saenz pena,AR,64.2,-26.7852,-60.4388,Hotel Aconcagua
75,Bonthe,SL,77.23,7.5264,-12.505,Council Guesthouse
77,Guerrero negro,MX,63.7,27.9769,-114.0611,Cowboy Grill Hotel
79,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
86,San joaquin,BO,74.48,-16.3829,-58.3947,Hotel Pantanal San Matias
87,Bowen,AU,77.68,-20.0167,148.2333,Bluewater Harbour Motel
88,Saquarema,BR,63.16,-22.92,-42.5103,Itaúna Hostel
89,Xinan,CN,71.42,26.72,119.8556,Xin Sunshine Hotel
94,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
95,Yellowknife,CA,73.56,62.456,-114.3525,Super 8 by Wyndham Yellowknife
96,Cape town,ZA,64.11,-33.9258,18.4232,Southern Sun Waterfront Cape Town
97,Port blair,IN,77.04,11.6667,92.75,"Hotel Sentinel, Port Blair"
100,Kaeo,NZ,69.33,-35.1,173.7833,Sabbi's Backpackers
101,Arraial do cabo,BR,69.06,-22.9661,-42.0278,Ocean View Hotel
103,Palora,EC,65.68,-1.7,-77.9333,Hotel Sol De Oriente
104,Ribeira grande,PT,65.16,38.5167,-28.7,Casa da Japoneira
105,Hermanus,ZA,62.02,-34.4187,19.2345,Harbour House Hotel
106,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
108,Cape town,ZA,64.11,-33.9258,18.4232,Southern Sun Waterfront Cape Town
109,Cape town,ZA,64.11,-33.9258,18.4232,Southern Sun Waterfront Cape Town
112,Norwood,CA,63.43,44.3834,-77.9828,Norwood Overnights
113,Hamilton,BM,77.04,32.2915,-64.778,Hamilton Princess & Beach Club - A Fairmont Managed Hotel
118,Xiaoweizhai,CN,70.63,26.1903,107.5125,Haojue Business Hotel
119,Cape town,ZA,64.11,-33.9258,18.4232,Southern Sun Waterfront Cape Town
120,Quelimane,MZ,65.03,-17.8786,36.8883,Berta Alves Apart Hotel
123,Yurimaguas,PE,73.96,-5.9,-76.0833,Posada Cumpanama
124,Saint-philippe,RE,71.19,-21.3585,55.7679,Le four à pain
130,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
131,Vaini,TO,75.96,-21.2,-175.2,Tonga South Beach House
132,Eirunepe,BR,73.76,-6.6603,-69.8736,Pousada Novo Acre
134,Bethel,US,64.9,41.3712,-73.414,"Holiday Inn Danbury-Bethel @ I-84, an IHG Hotel"
135,Atuona,PF,78.48,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
136,Tabou,CI,77.04,4.423,-7.3528,Ebergement
138,Yellowknife,CA,73.56,62.456,-114.3525,Super 8 by Wyndham Yellowknife
140,Port macquarie,AU,68.9,-31.4333,152.9167,Macquarie Waters Boutique Apartment Hotel
141,East london,ZA,61.0,-33.0153,27.9116,Woodleigh Guest Lodge
142,Puerto ayora,EC,70.56,-0.7393,-90.3518,Castillo Galapagos
143,Cidreira,BR,62.4,-30.1811,-50.2056,Apart Hotel Portuguêsa
147,Katsuura,JP,64.42,35.1333,140.3,Katsuura Hilltop Hotel & Residence
149,Ribeira grande,PT,65.16,38.5167,-28.7,Casa da Japoneira
151,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
156,Nome,US,71.11,64.5011,-165.4064,Red Moose
159,Hermanus,ZA,62.02,-34.4187,19.2345,Harbour House Hotel
161,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
162,Bambous virieux,MU,69.22,-20.3428,57.7575,La Petite Ferme
164,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
166,Carnarvon,AU,70.34,-24.8667,113.6333,Good Paddock Restaurant By Gascoyne Hotel
171,Ponta do sol,CV,73.18,17.1994,-25.0919,Sintanton Trekking i
174,Atuona,PF,78.48,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
175,Cape town,ZA,64.11,-33.9258,18.4232,Southern Sun Waterfront Cape Town
177,Saint-philippe,RE,71.19,-21.3585,55.7679,Le four à pain
186,Guerrero negro,MX,63.7,27.9769,-114.0611,Cowboy Grill Hotel
187,Redencao,BR,72.27,-4.2258,-38.7306,Pousada Charm
190,Tunceli,TR,62.83,39.1083,39.5471,Polis Evi
191,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
192,Farafangana,MG,66.51,-22.8167,47.8333,Chez Abba
193,Constitucion,MX,75.13,23.9912,-104.6749,Hotel White House
197,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
200,Carballo,ES,62.29,43.213,-8.691,Hotel Mar De Queo
206,Lamar,US,76.64,33.6668,-95.5836,Days Inn by Wyndham Paris
207,Presidencia roque saenz pena,AR,64.2,-26.7852,-60.4388,Hotel Aconcagua
211,Barcelos,BR,74.05,-0.9747,-62.9242,Pousada do Irmão - Grupo JEnecy
215,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
216,Yellowknife,CA,73.56,62.456,-114.3525,Super 8 by Wyndham Yellowknife
218,Souillac,MU,71.26,-20.5167,57.5167,Bils' Villa
220,Laguna,BR,61.99,-28.4825,-48.7808,Hotel Samba Laguna Tourist
228,Charters towers,AU,77.25,-20.1,146.2667,Charters Towers Tourist Park
231,Jamestown,SH,64.02,-15.9387,-5.7168,Williams Estate
234,Magadan,RU,69.53,59.5667,150.8,Vm-Tsentral'naya
235,New ulm,US,63.5,44.3125,-94.4605,Microtel Inn & Suites by Wyndham New Ulm
236,Vaini,TO,75.96,-21.2,-175.2,Tonga South Beach House
244,Jamestown,SH,64.02,-15.9387,-5.7168,Williams Estate
250,Atuona,PF,78.48,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
251,Puerto ayora,EC,70.56,-0.7393,-90.3518,Castillo Galapagos
256,Hermanus,ZA,62.02,-34.4187,19.2345,Harbour House Hotel
261,Bathsheba,BB,79.48,13.2167,-59.5167,Rest Haven Beach Cottages
266,Yellowknife,CA,73.56,62.456,-114.3525,Super 8 by Wyndham Yellowknife
270,Hamilton,BM,77.04,32.2915,-64.778,Hamilton Princess & Beach Club - A Fairmont Managed Hotel
271,Kanniyakumari,IN,79.83,8.0833,77.5667,New Cape Hotel
274,Genhe,CN,68.41,50.7833,121.5167,Tiancheng Hotel
275,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
276,Richards bay,ZA,64.38,-28.783,32.0377,Rooibos Retreat
279,Cape town,ZA,64.11,-33.9258,18.4232,Southern Sun Waterfront Cape Town
283,Geraldton,AU,61.21,-28.7667,114.6,Hospitality Geraldton
284,Sao filipe,CV,75.6,14.8961,-24.4956,Tortuga B&B - Fogo
286,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
287,Hermanus,ZA,62.02,-34.4187,19.2345,Harbour House Hotel
291,Jamestown,SH,64.02,-15.9387,-5.7168,Williams Estate
